ep_plastic,sigma_Ludwik_MPa,sigma_Swift_MPa,sigma_Voce_MPa
0.004620204654144565,847.3565978314351,847.8281723970039,847.5288612112781
0.00521214813179157,849.2290445875394,849.4793359559424,849.1615651374979
0.005804091609438575,851.0351099741217,851.1086083851293,850.7780794019483
0.00639603508708558,852.7835995835845,852.716602844938,852.3785645390311
0.006987978564732584,854.4814498785548,854.3039065424427,853.9631794913117
0.007579922042379589,856.1342490235506,855.8710821907603,855.5320816253035
0.008171865520026593,857.7465833262255,857.4186693666263,857.0854267470957
0.008763808997673598,859.3222760768133,858.9471857746363,858.6233691178261
0.009355752475320604,860.864557208898,860.4571284257778,860.1460614690012
0.009947695952967607,862.3761869212724,861.9489747371625,861.6536550176631
0.010539639430614613,863.8595477449101,863.4231835592188,863.1462994814074
0.011131582908261618,865.3167144255481,864.8801961360394,864.6241430932507
0.011723526385908623,866.7495078600393,866.3204370040513,866.0873326163522
0.012315469863555627,868.1595373445601,867.7443148337265,867.5360133585884
0.012907413341202632,869.5482341060751,869.1522232186237,868.9703291869832
0.013499356818849638,870.9168782316946,870.5445414156853,870.3904225419955
0.01409130029649664,872.2666205275143,871.9216350403725,871.7964344516645
0.014683243774143647,873.5985004339512,873.2838567199175,873.1885045456156
0.01527518725179065,874.9134608388503,874.6315467076993,874.5667710689264
0.015867130729437656,876.212360424598,875.9650334614939,875.9313708958557
0.01645907420708466,877.4959840361815,877.284634188133,877.2824395434365
0.017051017684731665,878.7650514469625,878.5906553568907,878.6201111849341
0.01764296116237867,880.0202248166544,879.8833931837416,879.9445186631707
0.018234904640025675,881.2621150738221,881.1631340884552,881.2557935037177
0.01882684811767268,882.4912874077697,882.4301551263443,882.5540659279573
0.019418791595319684,883.7082660181094,883.6847243963424,883.8394648660152
0.02001073507296669,884.9135382418518,884.927101426955,885.1121179695641
0.020602678550613693,886.1075581555504,886.1575375415157,886.3721516245005
0.0211946220282607,887.290749732391,887.3762762040716,887.6196909634964
0.021786565505907702,888.4635096200768,888.5835533471195,888.8548598784258
0.022378508983554708,889.6262095940914,889.7795976823313,890.0777810326684
0.02297045246120171,890.779198731836,890.9646309953196,891.288575873291
0.023562395938848717,891.9228053457554,892.138868425422,892.4873646431088
0.024154339416495724,893.0573387075356,893.3025187314126,893.6742663926254
0.024746282894142727,894.1830905905099,894.4557845439849,894.8493989918575
0.025338226371789733,895.3003366533168,895.5988626057899,896.0128791420383
0.025930169849436736,896.4093376844685,896.7319439997648,897.1648223872088
0.026522113327083742,897.5103407246578,897.855214366431,898.3053431256913
0.027114056804730745,898.6035800812695,898.9688541107988,899.4345546214504
0.02770600028237775,899.6892782475702,900.0730385994714,900.5525690153412
0.028297943760024754,900.7676467373749,901.1679383485027,901.6594973362462
0.02888988723767176,901.8388868445606,902.253719202526,902.7554495121009
0.029481830715318767,902.9031903355957,903.3305425056394,903.8405343808108
0.03007377419296577,903.9607400822116,904.398565264499,904.9148597010605
0.030665717670612776,905.011710640468,905.4579403040442,905.9785321630143
0.03125766114825978,906.0562687816945,906.5088164162561,907.031657398912
0.03184960462590679,907.0945739801458,907.5513385023143,908.0743399935591
0.03244154810355379,908.1267788616329,908.5856477085093,909.1066834947127
0.033033491581200794,909.1530296169091,909.6118815562346,910.1287904233653
0.033625435058847804,910.173466383159,910.6301740663646,911.1407622839255
0.03421737853649481,911.1882235965703,911.6406558783128,912.1426995742984
0.03480932201414181,912.1974303186387,912.6434543640386,913.1347017958662
0.03540126549178881,913.201210538579,913.6386937372592,914.1168674633695
0.03599320896943582,914.1996834539585,914.6264951581093,915.0892941146905
0.036585152447082825,915.1929637314543,915.6069768334722,916.0520783205395
0.03717709592472983,916.1811617494392,916.5802541132015,917.0053156940453
0.03776903940237684,917.1643838239326,917.5464395824268,917.9491009002504
0.03836098288002384,918.1427324192979,918.5056431501425,918.8835276655124
0.03895292635767084,919.1163063449367,919.4579721342518,919.8086887868109
0.03954486983531785,920.0852009391067,920.4035313432391,920.7246761409643
0.040136813312964856,921.0495082408888,921.3424231546292,921.6315806937533
0.04072875679061186,922.0093171512273,922.2747475903855,922.5294925089547
0.04132070026825886,922.9647135838891,923.2006023893883,923.4185007572855
0.04191264374590587,923.9157806071057,924.1200830771305,924.2986937252588
0.042504587223552874,924.8625985765974,925.0332830327561,925.1701588239505
0.04309653070119988,925.8052452606167,925.940293553565,926.0329825976812
0.04368847417884689,926.7437959575918,926.841203917097,926.8872507326099
0.04428041765649389,927.6783236069028,927.7361014409042,927.7330480652438
0.04487236113414089,928.6088988932772,928.6250715401152,928.5704585908634
0.045464304611787895,929.5355903452528,929.508197782887,929.3995654718636
0.046056248089434905,930.4584644281158,930.3855619438401,930.220451046013
0.04664819156708191,931.3775856316929,931.2572440555617,931.0331968346302
0.04724013504472891,932.2930165533425,932.1233224582621,931.8378835506802
0.04783207852237592,933.2048179764649,932.9838738476641,932.6345911067895
0.04842402200002292,934.113048944827,933.8389733211983,933.4233986231822
0.049015965477669926,935.0177668329699,934.6886944225793,934.2043844355375
0.04960790895531693,935.9190274129537,935.5331091848265,934.977626102769
0.05019985243296394,936.8168849176703,936.3722881717996,935.7432004147272
0.05079179591061094,937.7113921009384,937.2063005183049,936.5011833998252
0.051383739388257944,938.60260029458,938.0352139688358,937.251650332589
0.05197568286590495,939.4905594626642,938.859094914999,937.994675741133
0.05256762634355196,940.3753182530879,939.6780084316847,938.7303334145616
0.05315956982119896,941.256924046653,940.4920183120247,939.4586964102965
0.05375151329884596,942.1354230037896,941.3011871011951,940.1798370613327
