Zeit_s;Kraft_N;Weg_mm;Längenänderung (fein)_mm;Längenänderung (grob)_mm;Querdehnung_%;Verlängerung_mm;Spannung_MPa;Dehnung_%;Position_mm;Weg_F_mm;Weg_G_mm;Weg_Q_mm;_Zahl;Spannungszunahmegesdchwindigkeit_Nmm/s;Kraft dickenbezogen_MPa;Dehnung Ringzugversuch 53504_%;Spannung Ringzugversuch 53504_MPa;Spannung breitenbezogen (ISO 12311)_MPa;Position(invers)_µm;Wahrer Querschnitt_mm²;Wahre Spannung_N/mm²;Arbeit_Nmm
1;66,500;-0,188350;-0,016029;0,000000;0,000000;-0,016029;1,336;-0,040;0,034901;39,983;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51197,154999;0,000000;0,000000;0,000000
1;70,250;-0,186663;-0,016129;0,000000;0,000000;-0,016129;1,412;-0,040;0,036588;39,983;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51198,841095;0,000000;0,000000;0,000000
1;72,250;-0,185003;-0,016148;0,000000;0,000000;-0,016148;1,452;-0,040;0,038248;39,983;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51200,500488;0,000000;0,000000;0,000000
1;74,250;-0,183334;-0,016327;0,000000;0,000000;-0,016327;1,492;-0,041;0,039917;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51202,171326;0,000000;0,000000;0,000000
1;72,250;-0,181642;-0,016308;0,000000;0,000000;-0,016308;1,452;-0,041;0,041609;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51203,861237;0,000000;0,000000;0,000000
1;80,000;-0,179982;-0,016579;0,000000;0,000000;-0,016579;1,608;-0,041;0,043268;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51205,520630;0,000000;0,000000;0,000000
1;76,000;-0,178343;-0,016689;0,000000;0,000000;-0,016689;1,527;-0,042;0,044908;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51207,160950;0,000000;0,000000;0,000000
1;80,000;-0,176692;-0,016727;0,000000;0,000000;-0,016727;1,608;-0,042;0,046559;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51208,812714;0,000000;0,000000;0,000000
1;78,000;-0,175051;-0,016758;0,000000;0,000000;-0,016758;1,567;-0,042;0,048200;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51210,453033;0,000000;0,000000;0,000000
1;83,750;-0,173391;-0,016930;0,000000;0,000000;-0,016930;1,683;-0,042;0,049860;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51212,112427;0,000000;0,000000;0,000000
1;81,750;-0,171740;-0,016968;0,000000;0,000000;-0,016968;1,643;-0,042;0,051511;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51213,764191;0,000000;0,000000;0,000000
1;85,750;-0,170037;-0,017197;0,000000;0,000000;-0,017197;1,723;-0,043;0,053214;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51215,469360;0,000000;0,000000;0,000000
1;85,750;-0,168309;-0,017269;0,000000;0,000000;-0,017269;1,723;-0,043;0,054942;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51217,197418;0,000000;0,000000;0,000000
1;87,500;-0,166667;-0,017357;0,000000;0,000000;-0,017357;1,758;-0,043;0,056584;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51218,837738;0,000000;0,000000;0,000000
1;89,500;-0,164998;-0,017529;0,000000;0,000000;-0,017529;1,798;-0,044;0,058253;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51220,504761;0,000000;0,000000;0,000000
1;89,500;-0,163322;-0,017487;0,000000;0,000000;-0,017487;1,798;-0,044;0,059929;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51222,183228;0,000000;0,000000;0,000000
1;93,250;-0,161633;-0,017807;0,000000;0,000000;-0,017807;1,874;-0,045;0,061618;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51223,873138;0,000000;0,000000;0,000000
1;93,250;-0,159989;-0,017799;0,000000;0,000000;-0,017799;1,874;-0,044;0,063262;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51225,517273;0,000000;0,000000;0,000000
1;93,250;-0,158372;-0,017887;0,000000;0,000000;-0,017887;1,874;-0,045;0,064879;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51227,130890;0,000000;0,000000;0,000000
1;95,250;-0,156694;-0,018059;0,000000;0,000000;-0,018059;1,914;-0,045;0,066557;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51228,809357;0,000000;0,000000;0,000000
1;99,000;-0,155066;-0,018177;0,000000;0,000000;-0,018177;1,989;-0,045;0,068185;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51230,438232;0,000000;0,000000;0,000000
1;101,000;-0,153411;-0,018238;0,000000;0,000000;-0,018238;2,030;-0,046;0,069840;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51232,093811;0,000000;0,000000;0,000000
1;99,000;-0,151687;-0,018200;0,000000;0,000000;-0,018200;1,989;-0,046;0,071564;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51233,818054;0,000000;0,000000;0,000000
1;101,000;-0,149998;-0,018497;0,000000;0,000000;-0,018497;2,030;-0,046;0,073253;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51235,507965;0,000000;0,000000;0,000000
1;104,750;-0,148329;-0,018330;0,000000;0,000000;-0,018330;2,105;-0,046;0,074922;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51237,174988;0,000000;0,000000;0,000000
1;104,750;-0,146678;-0,018677;0,000000;0,000000;-0,018677;2,105;-0,047;0,076573;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51238,826752;0,000000;0,000000;0,000000
1;106,750;-0,144993;-0,018597;0,000000;0,000000;-0,018597;2,145;-0,046;0,078258;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51240,512848;0,000000;0,000000;0,000000
1;106,750;-0,143299;-0,018620;0,000000;0,000000;-0,018620;2,145;-0,047;0,079952;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51242,206573;0,000000;0,000000;0,000000
1;112,500;-0,141653;-0,018719;0,000000;0,000000;-0,018719;2,261;-0,047;0,081598;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51243,850708;0,000000;0,000000;0,000000
1;110,500;-0,140020;-0,018608;0,000000;0,000000;-0,018608;2,220;-0,047;0,083231;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51245,483398;0,000000;0,000000;0,000000
1;112,500;-0,138376;-0,018787;0,000000;0,000000;-0,018787;2,261;-0,047;0,084875;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51247,127533;0,000000;0,000000;0,000000
1;114,500;-0,136723;-0,018757;0,000000;0,000000;-0,018757;2,301;-0,047;0,086528;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51248,783112;0,000000;0,000000;0,000000
1;116,250;-0,135056;-0,018867;0,000000;0,000000;-0,018867;2,336;-0,047;0,088195;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51250,446320;0,000000;0,000000;0,000000
1;118,250;-0,133387;-0,018867;0,000000;0,000000;-0,018867;2,376;-0,047;0,089864;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51252,117157;0,000000;0,000000;0,000000
1;118,250;-0,131664;-0,018879;0,000000;0,000000;-0,018879;2,376;-0,047;0,091587;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51253,841400;0,000000;0,000000;0,000000
1;120,250;-0,129997;-0,018948;0,000000;0,000000;-0,018948;2,416;-0,047;0,093254;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51255,508423;0,000000;0,000000;0,000000
1;122,000;-0,128355;-0,018967;0,000000;0,000000;-0,018967;2,452;-0,047;0,094896;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51257,148743;0,000000;0,000000;0,000000
1;124,000;-0,126657;-0,018887;0,000000;0,000000;-0,018887;2,492;-0,047;0,096594;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51258,846283;0,000000;0,000000;0,000000
1;122,000;-0,124979;-0,018879;0,000000;0,000000;-0,018879;2,452;-0,047;0,098272;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51260,524750;0,000000;0,000000;0,000000
1;131,750;-0,123305;-0,018860;0,000000;0,000000;-0,018860;2,647;-0,047;0,099946;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51262,199402;0,000000;0,000000;0,000000
1;129,750;-0,121702;-0,018768;0,000000;0,000000;-0,018768;2,607;-0,047;0,101549;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51263,801575;0,000000;0,000000;0,000000
1;131,750;-0,120042;-0,018707;0,000000;0,000000;-0,018707;2,647;-0,047;0,103209;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51265,460968;0,000000;0,000000;0,000000
1;133,500;-0,118376;-0,018669;0,000000;0,000000;-0,018669;2,683;-0,047;0,104875;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51267,127991;0,000000;0,000000;0,000000
1;135,500;-0,116741;-0,018517;0,000000;0,000000;-0,018517;2,723;-0,046;0,106510;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51268,764496;0,000000;0,000000;0,000000
2;139,250;-0,115051;-0,018528;0,000000;0,000000;-0,018528;2,798;-0,046;0,108200;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51270,454407;0,000000;0,000000;0,000000
2;139,250;-0,113353;-0,018517;0,000000;0,000000;-0,018517;2,798;-0,046;0,109898;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51272,151947;0,000000;0,000000;0,000000
2;139,250;-0,111668;-0,018307;0,000000;0,000000;-0,018307;2,798;-0,046;0,111583;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51273,838043;0,000000;0,000000;0,000000
2;143,250;-0,110003;-0,018478;0,000000;0,000000;-0,018478;2,879;-0,046;0,113248;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51275,501251;0,000000;0,000000;0,000000
2;143,250;-0,108336;-0,018307;0,000000;0,000000;-0,018307;2,879;-0,046;0,114914;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51277,168274;0,000000;0,000000;0,000000
2;149,000;-0,106638;-0,018208;0,000000;0,000000;-0,018208;2,994;-0,046;0,116613;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51278,865814;0,000000;0,000000;0,000000
2;149,000;-0,104980;-0,018238;0,000000;0,000000;-0,018238;2,994;-0,046;0,118271;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51280,525208;0,000000;0,000000;0,000000
2;149,000;-0,103352;-0,018040;0,000000;0,000000;-0,018040;2,994;-0,045;0,119899;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51282,154083;0,000000;0,000000;0,000000
2;156,500;-0,101702;-0,017918;0,000000;0,000000;-0,017918;3,145;-0,045;0,121549;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51283,802032;0,000000;0,000000;0,000000
2;160,500;-0,100051;-0,017918;0,000000;0,000000;-0,017918;3,225;-0,045;0,123200;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51285,453796;0,000000;0,000000;0,000000
2;158,500;-0,098389;-0,017937;0,000000;0,000000;-0,017937;3,185;-0,045;0,124862;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51287,117004;0,000000;0,000000;0,000000
2;164,250;-0,096738;-0,017696;0,000000;0,000000;-0,017696;3,301;-0,044;0,126513;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51288,764954;0,000000;0,000000;0,000000
2;170,000;-0,095035;-0,017849;0,000000;0,000000;-0,017849;3,416;-0,045;0,128216;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51290,470123;0,000000;0,000000;0,000000
2;172,000;-0,093316;-0,017647;0,000000;0,000000;-0,017647;3,456;-0,044;0,129935;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51292,190552;0,000000;0,000000;0,000000
2;179,500;-0,091676;-0,017540;0,000000;0,000000;-0,017540;3,607;-0,044;0,131575;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51293,827057;0,000000;0,000000;0,000000
2;181,500;-0,089998;-0,017338;0,000000;0,000000;-0,017338;3,647;-0,043;0,133253;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51295,505524;0,000000;0,000000;0,000000
2;185,250;-0,088315;-0,017319;0,000000;0,000000;-0,017319;3,723;-0,043;0,134936;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51297,187805;0,000000;0,000000;0,000000
2;193,000;-0,086640;-0,016998;0,000000;0,000000;-0,016998;3,878;-0,042;0,136611;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51298,866272;0,000000;0,000000;0,000000
2;193,000;-0,085009;-0,016689;0,000000;0,000000;-0,016689;3,878;-0,042;0,138242;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51300,495148;0,000000;0,000000;0,000000
2;196,750;-0,083379;-0,016399;0,000000;0,000000;-0,016399;3,954;-0,041;0,139872;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51302,124023;0,000000;0,000000;0,000000
2;200,750;-0,081692;-0,016068;0,000000;0,000000;-0,016068;4,034;-0,040;0,141559;39,983;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51303,813934;0,000000;0,000000;0,000000
2;204,500;-0,080075;-0,015717;0,000000;0,000000;-0,015717;4,109;-0,039;0,143176;39,983;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51305,427551;0,000000;0,000000;0,000000
2;208,250;-0,078415;-0,015308;0,000000;0,000000;-0,015308;4,185;-0,038;0,144836;39,983;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51307,090759;0,000000;0,000000;0,000000
2;210,250;-0,076689;-0,014889;0,000000;0,000000;-0,014889;4,225;-0,037;0,146561;39,984;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51308,815002;0,000000;0,000000;0,000000
2;216,000;-0,074991;-0,014477;0,000000;0,000000;-0,014477;4,340;-0,036;0,148260;39,984;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51310,512543;0,000000;0,000000;0,000000
2;221,750;-0,073324;-0,013908;0,000000;0,000000;-0,013908;4,456;-0,035;0,149927;39,985;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51312,179565;0,000000;0,000000;0,000000
2;227,500;-0,071676;-0,013618;0,000000;0,000000;-0,013618;4,572;-0,034;0,151575;39,985;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51313,827515;0,000000;0,000000;0,000000
2;227,500;-0,069984;-0,013058;0,000000;0,000000;-0,013058;4,572;-0,033;0,153267;39,986;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51315,521240;0,000000;0,000000;0,000000
2;235,250;-0,068303;-0,012798;0,000000;0,000000;-0,012798;4,727;-0,032;0,154948;39,986;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51317,199707;0,000000;0,000000;0,000000
2;242,750;-0,066664;-0,012318;0,000000;0,000000;-0,012318;4,878;-0,031;0,156587;39,986;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51318,840027;0,000000;0,000000;0,000000
2;248,500;-0,065022;-0,012188;0,000000;0,000000;-0,012188;4,994;-0,030;0,158229;39,987;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51320,480347;0,000000;0,000000;0,000000
2;260,000;-0,063388;-0,011799;0,000000;0,000000;-0,011799;5,225;-0,029;0,159863;39,987;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51322,116852;0,000000;0,000000;0,000000
2;269,750;-0,061732;-0,011589;0,000000;0,000000;-0,011589;5,421;-0,029;0,161519;39,987;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51323,772430;0,000000;0,000000;0,000000
2;281,250;-0,060066;-0,011360;0,000000;0,000000;-0,011360;5,652;-0,028;0,163185;39,987;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51325,439453;0,000000;0,000000;0,000000
2;287,000;-0,058381;-0,010998;0,000000;0,000000;-0,010998;5,767;-0,027;0,164870;39,988;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51327,125549;0,000000;0,000000;0,000000
2;300,250;-0,056646;-0,010788;0,000000;0,000000;-0,010788;6,033;-0,027;0,166605;39,988;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51328,857422;0,000000;0,000000;0,000000
2;311,750;-0,054997;-0,010639;0,000000;0,000000;-0,010639;6,265;-0,027;0,168254;39,988;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51330,509186;0,000000;0,000000;0,000000
2;317,500;-0,053349;-0,010277;0,000000;0,000000;-0,010277;6,380;-0,026;0,169902;39,988;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51332,157135;0,000000;0,000000;0,000000
2;333,000;-0,051650;-0,010117;0,000000;0,000000;-0,010117;6,692;-0,025;0,171601;39,989;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51333,854675;0,000000;0,000000;0,000000
2;344,500;-0,049972;-0,009888;0,000000;0,000000;-0,009888;6,923;-0,025;0,173279;39,989;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51335,533142;0,000000;0,000000;0,000000
2;356,000;-0,048310;-0,009689;0,000000;0,000000;-0,009689;7,154;-0,024;0,174941;39,989;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51337,196350;0,000000;0,000000;0,000000
2;365,500;-0,046705;-0,009579;0,000000;0,000000;-0,009579;7,345;-0,024;0,176546;39,989;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51338,798523;0,000000;0,000000;0,000000
2;379,000;-0,045036;-0,009220;0,000000;0,000000;-0,009220;7,616;-0,023;0,178215;39,989;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51340,469360;0,000000;0,000000;0,000000
